SMILES,FingerPrint_0,FingerPrint_1
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,24.16017,18.59618
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,22.66685,-74.404495
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,62.16734,3.5966296
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,15.839118,-52.578335
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,37.45084,-53.843304
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,89.106735,-33.20657
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,88.617,-33.222443
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,11.042748,-12.518819
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,51.833424,-79.63499
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,36.8502,40.450394
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,89.46864,-31.16394
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,89.670555,-30.701189
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,70.199684,-67.06628
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,15.427825,4.1632686
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,38.95879,5.3842773
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,36.348587,39.711643
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,66.60698,-2.9331028
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,70.85726,-70.61453
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,66.7116,-2.8021371
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,89.65663,-30.727972
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,89.49969,-31.092894
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,56.80917,-55.512157
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,89.62973,-30.818457
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,12.747028,-98.21832
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,56.758022,-53.615356
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,-6.9717183,-54.805286
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,37.364243,-52.882534
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,20.703878,-88.85675
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,18.48683,-93.44624
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,29.918058,-88.874855
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,18.728588,-86.870476
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,17.889124,-87.93087
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,22.649038,-90.31416
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,22.564976,-92.74051
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,14.32237,-102.273125
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,26.100504,-92.23095
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,26.170662,-92.29996
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,24.06334,-81.246895
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,35.196426,-73.914536
